name,class,introduction,learner_number,description,path,difficulty,duration,comprehensive_score,evaluation_number,utility_score,concise_score,logic_score,当前链接,上级链接,下载时间
Python数据预处理（二）- 清洗文本数据,Python自然语言处理,教会你使用Python数据预处理,5856,本课介绍数据预处理过程体系，包括数据类型与采集、文本转化与抽取、数据集成与规约、中文分词、数据清洗、特征提取与变换、特征向量化、特征降维、特征选择、可视化、词典模型、TF-IDF向量模型、主题模型等。,课程\后端开发\Python\Python数据预处理（二）-清洗文本数据,中级," 3小时47分",8.43,11,9.5,8.0,7.8,http://www.imooc.com/learn/1122,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:04
VSCode入门,前端工具,学习前端开发工具VSCode的基本使用方法。,27356,本课程，面向0基础的小白用户，学习一个功能强大、操作简单的前端编程工具，学会本课程你将不再担心编辑器的配置与使用，轻松学习编程。,课程\前端开发\前端工具\VSCode入门,入门," 1小时32分",9.60,68,9.6,9.7,9.5,http://www.imooc.com/learn/1106,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:05
初识HTML(5)+CSS(3)-2020升级版,HTML/CSS,HTML(5)+CSS(3)基础教程8小时带领大家步步深入学习标签用法和意义,1124381,2020升级版来了，课程将持续更新....本课程从最基本的概念开始讲起，步步深入，带领大家学习HTML(5)、CSS(3)样式基础知识，了解各种常用标签的意义以及基本用法，后半部分教程主要讲解CSS(3)样式代码添加，为后面的案例课程打下基础。,课程\前端开发\HTML/CSS\初识HTML(5)+CSS(3)-2020升级版,入门," 9小时18分",9.50,9343,9.8,9.5,9.2,http://www.imooc.com/learn/9,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:05
我的云音乐（一）,Android,"高仿网易云音乐，从零开始开发一款专属自己的音乐APP。
",12359,不仅能学到自定义控件、第三方框架、Realm数据库等知识点，最终还能完成一个炫酷的音乐APP。,课程\移动开发\Android\我的云音乐（一）,中级," 3小时 0分",9.63,14,9.3,9.6,10.0,http://www.imooc.com/learn/1104,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:06
Android多种方式实现流式布局,Android,本课程将带大家通过自定义FlowLayout等方式实现Android中的流式布局。,2864,课程不仅详细介绍了自定义ViewGroup开发的详细步骤，还会教会大家如何利用通用方案优雅的解决复杂问题。课程最后会手把手带大家利用自定义的TagFlowLayout实现标签的单选多选效果。,课程\移动开发\Android\Android多种方式实现流式布局,中级," 2小时26分",9.40,9,10.0,9.1,9.1,http://www.imooc.com/learn/1141,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:06
Java入门第一季,Java,本教程从Java环境搭建、工具使用、基础语法开始，带你入门,1068145,本教程为Java入门第一季，欢迎来到精彩的Java编程世界！Java语言已经成为当前软件开发行业中主流的开发语言。本教程将介绍Java环境搭建、工具使用、基础语法。带领大家一步一步的踏入Java达人殿堂！Let’sgo!,课程\后端开发\Java\Java入门第一季,入门," 5小时 0分",9.57,5954,9.8,9.5,9.4,http://www.imooc.com/learn/85,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:07
《MAYA-98k次时代建模》-上,动效动画,Maya道具98k次世代模型制作,2048,本课程从Maya工程目录的创建、高模低模的制作、UV的拆分、法线贴图的烘培、贴图的制作到最终模型渲染出效果图，完整的介绍了Maya次世代模型制作的整个流程，每个知识点都有详细的介绍。这个课程对想学习游戏次世代模型的同学来说，起到了抛砖引玉的作用，非常适合初学者进行学习。,课程\UI设计&多媒体\动效动画\《MAYA-98k次时代建模》-上,初级," 4小时56分",8.90,3,8.7,8.0,10.0,http://www.imooc.com/learn/1098,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:07
Flink最锋利的武器---FlinkSQL入门和实战,大数据,Flink新版本特性以及Flink SQL在实际项目中的应用。,3795,本课程包含Flink重要的概念和编程模型，FlinkDataset和DataStreamAPI详解，FlinkTable和SQL的算子操作以及在实际问题中的应用。并且通过案例入手讲解FlinkSQL在生产环境的使用。,课程\云计算&大数据\大数据\Flink最锋利的武器---FlinkSQL入门和实战,初级," 2小时35分",10.00,2,10.0,10.0,10.0,http://www.imooc.com/learn/1113,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:07
C语言入门,C,C语言入门视频教程，带你进入编程世界的必修课-C语言,821235,本C语言教程从以下几个模块来贯穿主要知识点：初始C程序、数据类型、运算符、语句结构、函数和数组。每个阶段都配有练习题同时提供在线编程任务。希望通过本教程帮助C语言入门学习者迅速掌握程序逻辑并开始C语言编程。,课程\后端开发\C\C语言入门,入门," 4小时50分",9.43,2839,9.7,9.4,9.2,http://www.imooc.com/learn/249,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:08
极速入门SpringCloud之API网关与服务发现,JavaSpring Cloud,"SpringCloud微服务实战，从架构到网关到服务发现。
",17100,基于SpringBoot的SpringCloud是微服务架构的集大成者，将一系列优秀的组件进行了整合。本课程先介绍了微服务架构SpringCloud各个组件的应用场景，其次挖掘业界内各个组件的使用情况，然后介绍组件的架构及实现原理，最后通过简单的实例来熟悉该组件，为分析源码或者定制组件提供了基础。,课程\后端开发\Java\极速入门SpringCloud之API网关与服务发现,初级," 1小时30分",8.87,25,8.6,9.0,9.0,http://www.imooc.com/learn/1134,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:08
